Method,Q2n,Q,ERGAS,SAM,sCC,RMSE,PSNR
GT,0,1,0,0,1,0,inf
cubic,0.0,0.8737352713542368,0.9510059787588707,0.0,0.7567799790354577,8.30375451328247e-11,37.66068355138398
SRCNN,0,0.8776162502305439,0.9348558716180471,0,0.7613123738191653,8.162739074835248e-11,37.80945529481151
PAN,0,0.876491066793504,0.9389005666075799,0,0.7374152560836146,8.198055523968426e-11,37.771956473568345
HAT,0,0.8736828799519186,0.9532357859287535,0,0.7522376303391229,8.323224181995624e-11,37.64034173533612
CGA_nomatch,0,0.8766884779736024,0.9391766139412507,0,0.757745206631549,8.20046584455951e-11,37.76940309959922
CGA_match,0,0.8765384127344975,0.9396343695468296,0,0.7585154422085436,8.20446275967961e-11,37.76517061981825
S5Net_nomatch,0,0.8818494363993611,0.9314328796645722,0,0.7340341988641518,8.132851055708712e-11,37.84131720648893
S5Net_match,0,0.8778323058909329,0.9340648932437053,0,0.7681756437377621,8.15583260905843e-11,37.81680750728087
